小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
龙湖佳兴紫云台,南康南山大道天马山大道,4室2厅2卫,122㎡,南北,高层(共34层),2020年建造,8361元/㎡,102万,龙湖紫云台四小十一中四房两厅122平急售102万
美的爱康公园天下,南康工业大道赣南大道,4室2厅2卫,103㎡,南,低层(共33层),2021年建造,9399元/㎡,96.8万,美的公园天下 精装四房两厅两卫大阳台 视野开阔采光好
正源时代,南康南山大道南山大道,5室2厅3卫,160㎡,南,低层(共33层),2016年建造,10500元/㎡,168万,正源时代带院子复式楼 户型方正 七小九中门口 花园小区
珑玺湾,南康迎宾中大道金赣北大道,3室2厅2卫,100㎡,南北,高层(共26层),2020年建造,6200元/㎡,62万,4A景区家居小镇一线瞰江 直接过户 还送个人防车位
佳兴锦园,南康蓝田大道天马山大道,4室2厅2卫,129.31㎡,南,中层(共33层),2021年建造,9018元/㎡,116.6万,佳兴锦园毛坯房 正四房 南北通透户型方正 双阳台四小九中门口
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,4室2厅2卫,145㎡,南,高层(共17层),2020年建造,7449元/㎡,108万,南康南水 碧桂园正荣天麓   次新小区 洋房边套 视野开阔
五星公馆,南康天马山大道天马山大道9号,4室2厅2卫,132.43㎡,南北,低层(共11层),2018年建造,10270元/㎡,136万,体育广场旁 五星公馆洋房 精装修南北通透4房2厅 房东诚意出
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,4室2厅2卫,142㎡,南北,中层(共31层),2020年建造,8803元/㎡,125万,七小九中 碧桂园边套4房2厅2卫 南北通透 带车位出售
佳龙太古城,南康和谐大道南山大道,4室2厅2卫,126.29㎡,南北,中层(共32层),2020年建造,6493元/㎡,82万,四小八中 佳龙太古城南北通透4房2厅126平 停车方便
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,5室2厅3卫,206㎡,南北,中层(共29层),2021年建造,8534元/㎡,175.8万,碧桂园精装五房大平层拎包入住  南康 七小旁
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,4室2厅2卫,142㎡,南北,低层(共26层),2017年建造,8367元/㎡,118.8万,碧桂园 税满二 带车位 四房两厅两卫 南北通透双阳台 好停车
红星中央广场,南康广场天街赣南大道,3室2厅2卫,107㎡,南,高层(共32层),2022年建造,8954元/㎡,95.8万,红星中央广场精装三房两厅两卫
红星中央广场,南康广场天街赣南大道,3室2厅2卫,115㎡,南北,高层(共33层),2020年建造,7392元/㎡,85万,急售东边套    好楼层 采光很好 红星三房 有密码看房方便
美的爱康公园天下,南康工业大道赣南大道,3室2厅2卫,115㎡,南北,低层(共33层),2022年建造,7479元/㎡,86万,南北通透 板楼 双卫生间 商品住宅 精装好房 次新小区
红星中央广场,南康广场天街赣南大道,3室2厅2卫,115㎡,南北,低层(共31层),2018年建造,7809元/㎡,89.8万,急售爱琴海购物中心 红星精装修三房 小区人车分流 有密码看房
珑玺湾,南康迎宾中大道金赣北大道,3室2厅2卫,103㎡,南,高层(共24层),2021年建造,8428元/㎡,86.8万,珑玺湾东山新区 北校门口 精装修未入住 人车分流户型方正
恒大江湾,南康广场天街金赣北大道,3室2厅2卫,128㎡,南北,低层(共32层),2018年建造,7000元/㎡,89.6万,百米楼间距 南康  一个带清水湖的小区 今年买 今年住
恒大江湾,南康广场天街金赣北大道,5室2厅2卫,135㎡,南北,高层(共19层),2021年建造,7186元/㎡,97万,江湾旁  真正的江景美宅   楼层 七米大阳台
美的爱康公园天下,南康工业大道赣南大道,4室2厅2卫,105㎡,东,低层(共11层),2022年建造,9048元/㎡,95万,美的爱康公园 家具小镇旁 现房4房2厅2卫精装未入住
美的爱康公园天下,南康工业大道赣南大道,4室2厅2卫,127㎡,南北,中层(共32层),2021年建造,8347元/㎡,106万,东山新区美的爱康公园天下四房两厅十二中十二小急售106万
红星中央广场,南康广场天街赣南大道,3室2厅1卫,96.29㎡,南北,低层(共42层),2022年建造,6855元/㎡,66万,远洋筑建红星安家中央广场生活从此启航
弘乾中茂时代新城,南康广场天街赣南大道,4室2厅2卫,127㎡,南北,高层(共32层),2017年建造,5497元/㎡,69.8万,时代新城四房两厅两卫精装修 拎包入住  视线好 大阳台 满二
亚琦时代新城,"南康赣南大道赣南大道,近向阳大道",4室2厅2卫,127.6㎡,南,高层(共33层),2019年建造,5706元/㎡,72.8万,龙岭 赣南大道旁 时代新城 精装修末入住 四房 拎包入住
美的爱康公园天下,南康工业大道赣南大道,4室2厅2卫,128㎡,南北,低层(共32层),2022年建造,8204元/㎡,105万,十二小十二中 知识的海洋在门口  配套齐全  北面瞰江
美的爱康公园天下,南康工业大道赣南大道,4室2厅2卫,128㎡,南北,低层(共32层),2022年建造,8204元/㎡,105万,4A景区家居小镇 一线章江 十二中十二小 商圈环绕 咫尺繁华
红星中央广场,南康广场天街赣南大道,4室2厅2卫,115㎡,南,高层(共33层),2020年建造,9027元/㎡,103.8万,房东急售    十二小十二中精装修四房
花香美林郡,南康广场天街市场东路,4室2厅2卫,134㎡,南北,中层(共38层),2019年建造,6792元/㎡,91万,八小旁花香美林郡精装大4房2厅急售随时看房
恒大江湾,南康广场天街金赣北大道,3室2厅2卫,128㎡,南北,低层(共22层),2022年建造,7000元/㎡,89.6万,筑家恒大江湾生活美满幸福从此开始
